product_name,category,total_revenue,units_sold,avg_price
Defense Makeup,Beauty,870665.66,197,4788.244077669903
Plan Skincare,Beauty,798718.79,239,3676.070307692308
His Outdoor,Sports,740764.39,282,2766.063768115942
President Education,Books,707543.12,251,3081.6009322033897
President Cookware,Home & Kitchen,642348.3,143,4910.92
Rule Education,Books,634408.66,148,4632.41
Science Skincare,Beauty,633679.46,141,4891.39
Rest Makeup,Beauty,616441.36,148,4496.29
Bag Education,Books,614673.11,144,4623.34
Mind Jeans,Clothing,603716.9,134,4783.81
