year_month,total_revenue,total_transactions,average_order_value,unique_customers
2024-01,11510691.08,851,4606.118879551821,568
2024-02,10613561.21,815,4391.212747207282,562
2024-03,11808746.42,853,4566.413928847641,588
2024-04,10514570.6,788,4536.052890422779,551
2024-05,11267239.57,812,4591.377167889161,562
2024-06,11192772.96,808,4657.8331086142325,566
2024-07,11683618.81,883,4518.027382057231,594
2024-08,11526860.99,860,4530.9988168239,576
2024-09,11734616.36,848,4560.674838709678,582
2024-10,11823480.5,869,4559.768800617046,575
2024-11,11755570.95,856,4537.078714781937,586
2024-12,10189522.21,757,4524.654622557727,529
