product_name,category,total_profit,profit_margin,revenue,units_sold
Rest Makeup,Beauty,213449.2,34.63,616441.36,148
Defense Makeup,Beauty,213278.32,24.5,870665.66,197
Mind Jeans,Clothing,210566.26,34.88,603716.9,134
Rule Education,Books,198578.26,31.3,634408.66,148
Bag Education,Books,192442.07,31.31,614673.11,144
Science Skincare,Beauty,192219.74,30.33,633679.46,141
Defense Jeans,Clothing,186205.83,34.98,532362.36,137
Hope Education,Books,181787.41,35.16,516978.28,119
If Skincare,Beauty,178659.93,31.1,574556.86,143
College Makeup,Beauty,175295.39,34.86,502858.67,118
The Outdoor,Sports,169789.03,32.32,525400.48,123
Same Fiction,Books,162266.23,31.13,521244.73,135
Economy Mobile,Electronics,162175.99,30.47,532188.49,125
Same Laptop,Electronics,161052.55,33.1,486613.72,129
Operation Cookware,Home & Kitchen,159743.2,32.08,497998.88,112
Plan Skincare,Beauty,157266.66,19.69,798718.79,239
President Cookware,Home & Kitchen,157150.73,24.47,642348.3,143
Town Laptop,Electronics,156589.25,31.33,499819.35,109
His Outdoor,Sports,155711.31,21.02,740764.39,282
Trip Dress,Clothing,154120.38,31.92,482903.82,116
Wonder Fiction,Books,153654.41,33.31,461338.26,107
Event Makeup,Beauty,152555.73,32.52,469163.73,136
Sea Outdoor,Sports,152167.68,31.33,485747.02,146
Production Education,Books,149440.78,31.85,469273.22,148
West Headphones,Electronics,147632.38,31.87,463200.7,113
Economic Shirt,Clothing,147596.62,26.92,548267.98,131
Else Outdoor,Sports,146934.16,31.02,473745.04,128
Lot Cookware,Home & Kitchen,146718.53,34.54,424813.49,104
Prove Shirt,Clothing,143399.65,34.73,412902.15,109
Star Fitness,Sports,143105.6,28.34,505008.89,111
Nature Cookware,Home & Kitchen,141452.17,30.4,465326.89,104
Back Dress,Clothing,140653.16,29.39,478587.96,140
Move Fiction,Books,140549.06,27.4,512892.54,124
Free Education,Books,137023.14,29.3,467671.59,159
Know Outdoor,Sports,137015.6,26.97,508001.84,128
Much Education,Books,136237.67,23.2,587348.19,242
Let Outdoor,Sports,136027.61,26.93,505117.61,135
Campaign Jeans,Clothing,135842.82,26.51,512403.66,111
Spring Laptop,Electronics,135605.77,28.45,476671.67,119
Style Cookware,Home & Kitchen,134933.96,34.16,395015.66,115
Seven Skincare,Beauty,131545.6,34.0,386842.27,111
Service Education,Books,130776.19,26.8,488008.39,204
Medical Shirt,Clothing,130163.2,28.38,458640.88,108
Land Cookware,Home & Kitchen,128827.83,27.89,461870.79,109
Few Mobile,Electronics,128741.49,30.4,423515.01,138
Fear Outdoor,Sports,121432.13,33.52,362299.33,112
Bill Outdoor,Sports,119347.08,31.95,373502.67,103
Beyond Skincare,Beauty,118673.56,25.87,458770.8,119
President Education,Books,118057.62,16.69,707543.12,251
Finish Makeup,Beauty,117811.82,32.05,367577.42,105
School Laptop,Electronics,117788.32,22.18,530951.68,144
True Skincare,Beauty,117568.18,23.11,508730.62,116
Prevent Furniture,Home & Kitchen,116094.76,31.57,367689.26,113
Which Furniture,Home & Kitchen,116065.68,34.44,337013.44,88
Half Fitness,Sports,115811.44,31.2,371131.44,104
Too Dress,Clothing,115203.86,24.99,461071.46,120
Onto Fiction,Books,114123.55,26.94,423663.32,113
Network Fitness,Sports,113957.26,23.96,475619.4,107
Admit Mobile,Electronics,113004.29,23.3,484910.86,133
Increase Education,Books,112348.58,30.1,373215.02,108
Successful Education,Books,112293.55,21.11,531823.55,125
High Outdoor,Sports,112089.77,28.07,399323.81,103
Production Cookware,Home & Kitchen,111647.31,29.99,372264.37,121
Else Skincare,Beauty,111025.58,34.46,322200.3,149
Represent Education,Books,110438.67,28.23,391156.38,107
Peace Education,Books,110024.42,30.82,356971.22,114
Every Laptop,Electronics,109874.97,29.73,369589.37,121
Conference Skincare,Beauty,109829.98,32.38,339204.13,109
Thought Fiction,Books,109111.07,20.99,519944.1,131
Big Dress,Clothing,108816.4,19.58,555725.47,137
Choose Makeup,Beauty,108207.83,25.03,432351.61,131
Onto Mobile,Electronics,108000.41,29.91,361112.47,101
National Outdoor,Sports,107048.28,32.76,326731.84,86
Look Fiction,Books,107016.64,26.72,400463.89,123
Value Skincare,Beauty,106768.32,29.22,365348.85,117
Painting Laptop,Electronics,106560.42,24.1,442082.28,123
Common Shirt,Clothing,106007.68,18.37,577146.24,128
Candidate Furniture,Home & Kitchen,105313.09,27.87,377907.49,104
Catch Jeans,Clothing,105311.79,31.01,339606.77,106
Friend Outdoor,Sports,104708.37,33.61,311510.29,128
Its Jeans,Clothing,104023.1,22.89,454500.53,107
Here Shirt,Clothing,103841.97,19.65,528553.53,114
Month Dress,Clothing,103488.29,33.66,307495.25,134
Author Furniture,Home & Kitchen,103373.41,36.03,286931.49,158
Bank Shirt,Clothing,103079.87,24.14,426955.07,120
Present Headphones,Electronics,103056.26,31.79,324228.47,107
Rest Education,Books,102725.01,21.18,484933.63,142
Statement Shirt,Clothing,102484.54,27.76,369244.14,106
Theory Fiction,Books,101430.4,31.28,324247.36,123
American Jeans,Clothing,100743.88,26.06,386656.48,113
Home Cookware,Home & Kitchen,98666.0,30.37,324922.85,107
Tree Skincare,Beauty,98514.69,20.51,480248.69,131
Education Jeans,Clothing,98213.21,18.86,520874.29,116
Growth Makeup,Beauty,97428.45,17.57,554415.35,134
Area Fitness,Sports,96740.14,20.27,477251.26,121
Else Fitness,Sports,96585.07,30.72,314435.51,113
Identify Cookware,Home & Kitchen,96560.9,33.65,286940.32,77
Already Outdoor,Sports,96525.79,18.65,517589.87,142
Glass Cookware,Home & Kitchen,96397.29,22.97,419673.88,119
Until Education,Books,96300.95,22.46,428787.83,132
Serious Outdoor,Sports,95102.3,24.92,381650.0,86
Thank Jeans,Clothing,94004.24,28.69,327632.99,125
Friend Headphones,Electronics,93916.91,35.03,268129.16,93
Offer Cookware,Home & Kitchen,93110.2,24.77,375825.05,115
Assume Education,Books,92236.9,20.89,441593.38,132
Chair Cookware,Home & Kitchen,90856.34,26.91,337663.78,88
Miss Cookware,Home & Kitchen,89783.95,19.7,455795.95,108
Recognize Laptop,Electronics,88793.1,26.24,338432.58,114
People Skincare,Beauty,88751.74,17.47,507938.53,129
Assume Skincare,Beauty,88455.6,22.91,386068.1,145
Population Cookware,Home & Kitchen,88450.6,33.62,263095.84,132
Future Jeans,Clothing,88002.76,15.39,571667.72,134
Loss Laptop,Electronics,87666.04,27.96,313524.6,124
Interest Outdoor,Sports,87374.51,22.21,393457.04,117
Always Skincare,Beauty,86390.82,31.88,270998.18,112
There Furniture,Home & Kitchen,86078.98,26.59,323697.79,117
Quite Education,Books,85931.68,24.27,354074.08,162
Move Furniture,Home & Kitchen,85567.75,21.85,391581.59,101
End Skincare,Beauty,85530.28,20.32,420857.0,128
Fish Makeup,Beauty,85011.2,18.71,454261.2,140
Democrat Education,Books,84819.43,23.85,355592.56,107
Professional Skincare,Beauty,84754.24,29.48,287498.31,127
Talk Jeans,Clothing,84588.86,22.44,376896.26,132
Cell Shirt,Clothing,84335.83,31.92,264176.47,96
Head Outdoor,Sports,83600.49,28.27,295746.74,125
Hospital Jeans,Clothing,83381.25,23.16,359973.81,123
Character Fitness,Sports,82180.34,32.81,250467.8,107
Whether Outdoor,Sports,82160.49,26.61,308720.65,106
