item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00001,TXN00001,PROD0039,1,3842.98,15,3266.53
ITEM00002,TXN00001,PROD0177,3,893.8,0,2681.4
ITEM00003,TXN00001,PROD0359,3,1670.28,5,4760.3
ITEM00004,TXN00002,PROD0103,2,668.18,0,1336.36
ITEM00005,TXN00002,PROD0237,1,4690.51,5,4455.98
ITEM00006,TXN00003,PROD0150,3,3681.94,10,9941.24
ITEM00007,TXN00003,PROD0087,2,3306.83,0,6613.66
ITEM00008,TXN00003,PROD0291,2,1314.72,0,2629.44
ITEM00009,TXN00003,PROD0217,3,3869.21,15,9866.49
ITEM00010,TXN00003,PROD0283,1,1920.84,5,1824.8
ITEM00011,TXN00004,PROD0404,1,2145.97,0,2145.97
ITEM00012,TXN00004,PROD0092,2,1171.9,5,2226.61
ITEM00013,TXN00005,PROD0441,2,3972.28,5,7547.33
ITEM00014,TXN00005,PROD0166,1,577.45,0,577.45
ITEM00015,TXN00006,PROD0385,2,566.95,0,1133.9
ITEM00016,TXN00006,PROD0306,3,2516.0,10,6793.2
ITEM00017,TXN00006,PROD0433,2,4117.85,10,7412.13
ITEM00018,TXN00007,PROD0362,2,3155.04,15,5363.57
ITEM00019,TXN00007,PROD0281,3,2883.48,5,8217.92
ITEM00020,TXN00008,PROD0464,1,3335.34,0,3335.34
ITEM00021,TXN00008,PROD0079,1,4548.37,15,3866.11
ITEM00022,TXN00008,PROD0239,2,4800.0,10,8640.0
ITEM00023,TXN00008,PROD0304,1,1766.5,5,1678.17
ITEM00024,TXN00009,PROD0452,1,1238.27,10,1114.44
ITEM00025,TXN00009,PROD0306,2,2516.0,15,4277.2
ITEM00026,TXN00009,PROD0100,3,798.38,15,2035.87
ITEM00027,TXN00010,PROD0176,3,2922.08,0,8766.24
ITEM00028,TXN00010,PROD0404,2,2145.97,0,4291.94
ITEM00029,TXN00010,PROD0136,3,1930.06,0,5790.18
ITEM00030,TXN00010,PROD0063,1,4339.91,0,4339.91
ITEM00031,TXN00010,PROD0137,2,1474.35,0,2948.7
ITEM00032,TXN00011,PROD0243,1,3495.41,10,3145.87
ITEM00033,TXN00011,PROD0126,2,3935.75,15,6690.77
ITEM00034,TXN00011,PROD0034,3,4496.29,0,13488.87
ITEM00035,TXN00011,PROD0146,2,2796.0,0,5592.0
ITEM00036,TXN00011,PROD0347,1,946.34,0,946.34
ITEM00037,TXN00012,PROD0334,2,3115.97,10,5608.75
ITEM00038,TXN00013,PROD0218,2,519.82,15,883.69
ITEM00039,TXN00013,PROD0274,2,1781.27,5,3384.41
ITEM00040,TXN00013,PROD0128,1,4066.97,0,4066.97
ITEM00041,TXN00013,PROD0353,2,824.97,5,1567.44
ITEM00042,TXN00013,PROD0382,2,860.96,15,1463.63
ITEM00043,TXN00014,PROD0268,3,2149.96,5,6127.39
ITEM00044,TXN00014,PROD0287,3,430.52,0,1291.56
ITEM00045,TXN00015,PROD0391,1,901.36,10,811.22
ITEM00046,TXN00015,PROD0241,2,3724.42,5,7076.4
ITEM00047,TXN00016,PROD0421,3,1932.85,10,5218.69
ITEM00048,TXN00016,PROD0275,1,4579.77,10,4121.79
ITEM00049,TXN00016,PROD0278,2,704.34,5,1338.25
ITEM00050,TXN00016,PROD0192,3,4465.76,0,13397.28
ITEM00051,TXN00017,PROD0015,2,1614.23,5,3067.04
ITEM00052,TXN00017,PROD0440,3,2332.25,0,6996.75
ITEM00053,TXN00017,PROD0491,3,3568.73,10,9635.57
ITEM00054,TXN00017,PROD0075,1,4572.44,15,3886.57
ITEM00055,TXN00018,PROD0131,1,286.43,10,257.79
ITEM00056,TXN00018,PROD0313,1,2064.21,15,1754.58
ITEM00057,TXN00018,PROD0395,3,3717.85,0,11153.55
ITEM00058,TXN00018,PROD0095,1,3169.45,0,3169.45
ITEM00059,TXN00018,PROD0254,2,2922.18,5,5552.14
ITEM00060,TXN00019,PROD0015,2,1614.23,10,2905.61
ITEM00061,TXN00020,PROD0066,1,2751.65,5,2614.07
ITEM00062,TXN00021,PROD0213,2,1855.98,0,3711.96
ITEM00063,TXN00022,PROD0086,2,3049.81,0,6099.62
ITEM00064,TXN00022,PROD0324,2,1810.64,5,3440.22
ITEM00065,TXN00022,PROD0134,3,1092.96,15,2787.05
ITEM00066,TXN00022,PROD0147,1,2588.29,10,2329.46
ITEM00067,TXN00022,PROD0300,2,3803.27,15,6465.56
ITEM00068,TXN00023,PROD0084,2,1308.91,0,2617.82
ITEM00069,TXN00023,PROD0031,2,1142.65,0,2285.3
ITEM00070,TXN00024,PROD0395,3,3717.85,5,10595.87
ITEM00071,TXN00024,PROD0109,3,1688.23,10,4558.22
ITEM00072,TXN00024,PROD0237,1,4690.51,5,4455.98
ITEM00073,TXN00024,PROD0463,2,1359.44,10,2446.99
ITEM00074,TXN00024,PROD0013,2,3505.83,15,5959.91
ITEM00075,TXN00025,PROD0245,3,3983.29,10,10754.88
ITEM00076,TXN00025,PROD0271,2,2368.95,5,4501.0
ITEM00077,TXN00025,PROD0462,2,3399.99,10,6119.98
ITEM00078,TXN00025,PROD0190,3,2362.45,0,7087.35
ITEM00079,TXN00026,PROD0347,1,946.34,0,946.34
ITEM00080,TXN00026,PROD0333,2,1041.08,15,1769.84
ITEM00081,TXN00026,PROD0331,1,1247.05,10,1122.35
ITEM00082,TXN00026,PROD0206,1,668.27,15,568.03
ITEM00083,TXN00027,PROD0104,1,1430.67,10,1287.6
ITEM00084,TXN00027,PROD0456,2,2173.91,5,4130.43
ITEM00085,TXN00027,PROD0301,1,3572.64,15,3036.74
ITEM00086,TXN00028,PROD0254,1,2922.18,10,2629.96
ITEM00087,TXN00028,PROD0005,3,570.42,15,1454.57
ITEM00088,TXN00028,PROD0140,1,470.12,5,446.61
ITEM00089,TXN00028,PROD0326,3,2703.3,10,7298.91
ITEM00090,TXN00029,PROD0484,2,1943.58,0,3887.16
ITEM00091,TXN00029,PROD0400,3,4611.1,10,12449.97
ITEM00092,TXN00030,PROD0311,3,2591.39,15,6608.04
ITEM00093,TXN00031,PROD0449,1,3430.36,10,3087.32
ITEM00094,TXN00031,PROD0238,2,4343.21,5,8252.1
ITEM00095,TXN00031,PROD0232,3,3702.84,5,10553.09
ITEM00096,TXN00031,PROD0121,1,4501.5,0,4501.5
ITEM00097,TXN00031,PROD0029,2,4447.71,0,8895.42
ITEM00098,TXN00032,PROD0104,3,1430.67,5,4077.41
ITEM00099,TXN00032,PROD0070,3,2760.49,15,7039.25
ITEM00100,TXN00032,PROD0180,1,3596.5,10,3236.85
ITEM00101,TXN00032,PROD0442,3,1280.47,0,3841.41
ITEM00102,TXN00033,PROD0037,3,3157.96,15,8052.8
ITEM00103,TXN00033,PROD0439,2,3164.32,10,5695.78
