product_id,product_name,category,sub_category,price,cost,brand,stock_quantity,supplier_id
PROD0001,Candidate Cookware,Home & Kitchen,Cookware,2323.55,1617.37,Jenkins LLC,35,SUP046
PROD0002,Charge Makeup,Beauty,Makeup,3778.23,2942.7,Castaneda Inc,441,SUP039
PROD0003,Above Skincare,Beauty,Skincare,759.88,485.0,"Green, Everett and Rogers",364,SUP027
PROD0004,Seat Laptop,Electronics,Laptop,1144.28,781.99,Morris Ltd,126,SUP006
PROD0005,Gas Mobile,Electronics,Mobile,3588.77,2445.91,Rivera-Bennett,266,SUP009
PROD0006,Father Skincare,Beauty,Skincare,1071.62,665.67,"Blake, Carter and Rodriguez",422,SUP022
PROD0007,Unit Makeup,Beauty,Makeup,4085.14,2995.43,Wheeler Ltd,30,SUP030
PROD0008,Technology Headphones,Electronics,Headphones,749.55,490.28,Thomas-Brown,450,SUP016
PROD0009,Account Fiction,Books,Fiction,1611.31,1180.48,"Berry, Wilkinson and Andrews",142,SUP028
PROD0010,Place Fitness,Sports,Fitness,822.06,578.73,"Johnson, Powell and Mclaughlin",226,SUP049
PROD0011,Put Cookware,Home & Kitchen,Cookware,3654.25,2753.49,Hensley-Lucas,303,SUP026
PROD0012,Heavy Education,Books,Education,675.67,470.54,"Harrison, Reed and Chavez",68,SUP030
PROD0013,Anyone Fitness,Sports,Fitness,2786.21,2115.62,Peck Inc,261,SUP050
PROD0014,Successful Jeans,Clothing,Jeans,497.7,421.84,Sherman LLC,158,SUP005
PROD0015,Authority Mobile,Electronics,Mobile,2273.39,1738.33,Martinez Group,201,SUP038
PROD0016,Herself Fiction,Books,Fiction,659.42,479.75,"Wood, Mckenzie and Robbins",367,SUP030
PROD0017,Admit Cookware,Home & Kitchen,Cookware,3534.36,2308.57,Alvarado Ltd,337,SUP046
PROD0018,Another Skincare,Beauty,Skincare,4407.44,3242.17,"Johnson, Olson and Casey",183,SUP037
PROD0019,Politics Cookware,Home & Kitchen,Cookware,3159.79,2319.32,"Cox, Crawford and Hammond",113,SUP049
PROD0020,Full Dress,Clothing,Dress,4594.26,3113.28,Garcia Inc,94,SUP039
PROD0021,Knowledge Cookware,Home & Kitchen,Cookware,1872.85,1277.66,Camacho-Watts,79,SUP006
PROD0022,Mr Shirt,Clothing,Shirt,4203.59,3213.73,Beck Group,213,SUP050
PROD0023,Also Jeans,Clothing,Jeans,2092.22,1557.53,"Cohen, Anderson and Douglas",181,SUP035
PROD0024,Woman Fitness,Sports,Fitness,4362.33,3643.7,"Jones, Nichols and Moore",24,SUP044
PROD0025,Maintain Shirt,Clothing,Shirt,730.75,471.48,Martinez-Sanchez,286,SUP037
PROD0026,Force Outdoor,Sports,Outdoor,3271.58,2678.15,Reed and Sons,479,SUP038
PROD0027,Reduce Laptop,Electronics,Laptop,2816.2,1936.81,"Carlson, Parker and Mann",400,SUP025
PROD0028,Nice Skincare,Beauty,Skincare,376.67,285.18,Morales PLC,484,SUP033
PROD0029,Training Shirt,Clothing,Shirt,2768.98,1946.17,Cervantes and Sons,36,SUP005
PROD0030,Quite Laptop,Electronics,Laptop,4860.92,3365.72,Wilson-Baker,379,SUP005
PROD0031,Find Headphones,Electronics,Headphones,1643.34,1264.64,"Robbins, Jacobs and Todd",449,SUP026
PROD0032,Home Fitness,Sports,Fitness,678.3,527.13,"Nelson, Rodriguez and Goodwin",104,SUP020
PROD0033,Day Dress,Clothing,Dress,4379.85,3239.27,Parsons-Hill,143,SUP007
PROD0034,Under Headphones,Electronics,Headphones,2293.27,1610.95,"Brown, Moore and Blake",163,SUP018
PROD0035,Home Makeup,Beauty,Makeup,1653.98,1197.94,"Harvey, Chapman and Perez",321,SUP003
PROD0036,Data Education,Books,Education,3189.38,2087.92,"Sanchez, Calderon and Wilson",305,SUP020
PROD0037,Worry Dress,Clothing,Dress,4109.51,3360.1,Fritz Group,196,SUP001
PROD0038,Fast Makeup,Beauty,Makeup,3936.43,3075.75,Coleman PLC,247,SUP050
PROD0039,Table Headphones,Electronics,Headphones,1991.2,1522.35,Campbell Inc,360,SUP032
PROD0040,White Makeup,Beauty,Makeup,2737.75,2231.62,"Hunt, Holland and Sullivan",18,SUP042
PROD0041,Machine Skincare,Beauty,Skincare,345.53,256.06,"Walls, Strickland and Price",388,SUP020
PROD0042,Score Skincare,Beauty,Skincare,415.5,273.03,"Parker, Smith and Jones",394,SUP016
PROD0043,Whether Mobile,Electronics,Mobile,1144.01,724.29,"Greer, Douglas and Brown",230,SUP042
PROD0044,Test Makeup,Beauty,Makeup,3863.97,2460.83,"Martinez, Parker and Allen",439,SUP006
PROD0045,Force Outdoor,Sports,Outdoor,3365.99,2783.64,Wilson LLC,162,SUP004
PROD0046,Either Education,Books,Education,1095.72,861.78,"Silva, Page and Rodriguez",288,SUP002
