item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00001,TXN00001,PROD0226,1,2228.85,0,2228.85
ITEM00002,TXN00001,PROD0497,3,1746.09,10,4714.44
ITEM00003,TXN00001,PROD0084,3,3729.04,10,10068.41
ITEM00004,TXN00001,PROD0041,2,345.53,10,621.95
ITEM00005,TXN00001,PROD0370,2,2800.6,0,5601.2
ITEM00006,TXN00002,PROD0329,1,3070.71,5,2917.17
ITEM00007,TXN00002,PROD0383,1,374.69,10,337.22
ITEM00008,TXN00002,PROD0151,1,2490.08,0,2490.08
ITEM00009,TXN00002,PROD0034,1,2293.27,15,1949.28
ITEM00010,TXN00002,PROD0439,1,268.63,10,241.77
ITEM00011,TXN00003,PROD0012,1,675.67,15,574.32
ITEM00012,TXN00003,PROD0375,2,1522.68,5,2893.09
ITEM00013,TXN00003,PROD0366,1,3399.88,15,2889.9
ITEM00014,TXN00003,PROD0410,3,654.13,10,1766.15
ITEM00015,TXN00004,PROD0012,2,675.67,10,1216.21
ITEM00016,TXN00004,PROD0280,2,4690.93,5,8912.77
ITEM00017,TXN00004,PROD0157,1,1313.05,0,1313.05
ITEM00018,TXN00004,PROD0218,3,4963.92,10,13402.58
ITEM00019,TXN00004,PROD0367,2,2596.07,15,4413.32
ITEM00020,TXN00005,PROD0396,1,711.23,15,604.55
ITEM00021,TXN00005,PROD0042,2,415.5,10,747.9
ITEM00022,TXN00005,PROD0247,3,1670.16,10,4509.43
ITEM00023,TXN00006,PROD0061,1,3605.7,15,3064.84
ITEM00024,TXN00006,PROD0479,3,1728.09,15,4406.63
ITEM00025,TXN00006,PROD0233,2,481.96,10,867.53
ITEM00026,TXN00007,PROD0336,3,4607.78,10,12441.01
ITEM00027,TXN00007,PROD0495,1,4979.45,15,4232.53
ITEM00028,TXN00007,PROD0496,3,4128.17,10,11146.06
ITEM00029,TXN00007,PROD0194,1,2323.88,10,2091.49
ITEM00030,TXN00007,PROD0410,2,654.13,0,1308.26
ITEM00031,TXN00008,PROD0425,2,3320.43,10,5976.77
ITEM00032,TXN00008,PROD0342,3,344.71,5,982.42
ITEM00033,TXN00008,PROD0085,3,2322.09,5,6617.96
ITEM00034,TXN00008,PROD0089,1,956.36,10,860.72
ITEM00035,TXN00009,PROD0420,3,731.27,15,1864.74
ITEM00036,TXN00010,PROD0138,1,834.83,5,793.09
ITEM00037,TXN00010,PROD0245,2,835.52,0,1671.04
ITEM00038,TXN00010,PROD0396,2,711.23,5,1351.34
ITEM00039,TXN00010,PROD0370,2,2800.6,0,5601.2
ITEM00040,TXN00010,PROD0249,2,3267.69,0,6535.38
ITEM00041,TXN00011,PROD0035,2,1653.98,15,2811.77
ITEM00042,TXN00011,PROD0321,3,3887.54,10,10496.36
ITEM00043,TXN00011,PROD0021,2,1872.85,10,3371.13
ITEM00044,TXN00011,PROD0142,1,2570.42,15,2184.86
ITEM00045,TXN00012,PROD0095,2,1330.86,10,2395.55
ITEM00046,TXN00012,PROD0221,2,4595.02,10,8271.04
ITEM00047,TXN00012,PROD0353,3,1580.73,5,4505.08
ITEM00048,TXN00012,PROD0160,3,3279.12,15,8361.76
ITEM00049,TXN00012,PROD0321,3,3887.54,10,10496.36
ITEM00050,TXN00013,PROD0403,1,600.94,10,540.85
ITEM00051,TXN00014,PROD0269,1,4672.31,0,4672.31
ITEM00052,TXN00014,PROD0063,3,592.5,0,1777.5
ITEM00053,TXN00014,PROD0139,1,2705.04,5,2569.79
ITEM00054,TXN00014,PROD0118,3,3471.67,10,9373.51
ITEM00055,TXN00014,PROD0481,1,4613.51,5,4382.83
ITEM00056,TXN00015,PROD0437,3,2494.11,5,7108.21
ITEM00057,TXN00015,PROD0207,3,325.3,10,878.31
ITEM00058,TXN00015,PROD0270,3,2511.85,10,6781.99
